publication,ICLR,ICLR,ICML,AAAI,IJCAI,AAAI,AAAI,ICLR,ICLR,arXiv,NeurIPS,arXiv,Wiley,Economet Rev,ICLR,ICLR,ICLR,NeurIPS,ICLR,KDD,ICLR
bib,https://dblp.org/rec/conf/iclr/NieNSK23.html?view=bibtex,https://dblp.org/rec/conf/iclr/ZhangY23.html?view=bibtex,https://dblp.org/rec/conf/icml/ZhouMWW0022.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZhouZPZLXZ21.html?view=bibtex,https://dblp.org/rec/conf/ijcai/CirsteaG0KDP22.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZengCZ023.html?view=bibtex,https://dblp.org/rec/conf/aaai/ZengCZ023.html?view=bibtex,https://dblp.org/rec/conf/iclr/Wang0HWCX23.html?view=bibtex,https://dblp.org/rec/conf/iclr/WuHLZ0L23.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-1803-01271.html?view=bibtex,https://dblp.org/rec/conf/nips/ZhouMWW0YY022.html?view=bibtex,https://proceedings.mlr.press/v89/gasthaus19a.html,https://books.google.com/books?hl=zh-CN&lr=&id=8r0qE35wt44C&oi=fnd&pg=PR5&dq=Regression+models+for+time+series+analysis&ots=vd653g9LXv&sig=JPr8C-hETsPfWyuxTUlWgL0eKDA,https://www.tandfonline.com/doi/abs/10.1080/07474939408800286,https://dblp.org/rec/journals/corr/abs-2310-06625.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2307-03756.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2405-14616.html?view=bibtex,https://dblp.org/rec/conf/nips/LiuWWL22.html?view=bibtex,https://dblp.org/rec/journals/corr/abs-2402-05956.html?view=bibtex,,https://dblp.uni-trier.de/rec/conf/iclr/0001WLLB0X24.html?view=bibtex
year,2023,2023,2022,2021,2022,2023,2023,2022,2023,2018,2022,2019,2005,1994,2024,2024,2024,2022,2024,2025,2024
Traffic/Traffic-96-mae,0.262,0.288,0.365,0.391,0.323,0.275,0.272,0.313,0.312,0.541,0.284,1.007,0.534,1.056,0.265,0.28,0.256,0.33,0.25,0.238,0.252
Traffic/Traffic-96-mse,0.37,0.526,0.593,0.682,0.589,0.395,0.395,0.517,0.595,0.96,0.412,2.054,0.779,2.355,0.363,0.4,0.369,0.604,0.384,0.36,0.368
Traffic/Traffic-192-mae,0.269,0.263,0.381,1.275,0.325,0.28,0.277,0.302,0.322,0.59,0.285,1.09,0.539,0.869,0.273,0.288,0.271,0.338,0.257,0.25,0.261
Traffic/Traffic-192-mse,0.386,0.503,0.614,2.802,0.597,0.407,0.407,0.526,0.613,1.084,0.415,2.347,0.781,1.751,0.384,0.412,0.4,0.61,0.405,0.384,0.382
Traffic/Traffic-336-mae,0.275,0.276,0.389,0.496,0.332,0.286,0.282,0.307,0.332,0.582,0.299,1.131,0.542,0.752,0.277,0.301,0.272,0.341,0.265,0.26,0.268
Traffic/Traffic-336-mse,0.396,0.505,0.627,0.881,0.617,0.417,0.417,0.545,0.626,1.253,0.43,2.503,0.789,1.397,0.396,0.426,0.407,0.626,0.424,0.395,0.393
Traffic/Traffic-720-mae,0.295,0.301,0.394,1.302,0.35,0.308,0.302,0.328,0.34,0.533,0.371,1.161,0.555,0.644,0.308,0.339,0.316,0.347,0.283,0.278,0.297
Traffic/Traffic-720-mse,0.435,0.552,0.646,3.225,0.65,0.454,0.453,0.569,0.635,0.989,0.525,2.625,0.819,1.113,0.445,0.478,0.462,0.643,0.452,0.435,0.438
Traffic/PEMS_BAY-96-mae,0.355,0.297,0.586,0.439,0.484,0.404,0.402,0.393,0.368,0.644,0.421,1.271,1.192,0.516,0.319,0.403,0.376,0.432,0.306,0.292,0.361
Traffic/PEMS_BAY-96-mse,0.566,0.435,0.854,0.818,0.809,0.626,0.642,0.647,0.564,1.438,0.658,3.188,2.934,0.761,0.498,0.642,0.607,0.823,0.489,0.46,0.589
